apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-pt.mundohentai-v1.4.8.apk,pt,mundohentai,1.4.8,7,,
tachiyomi-pt.nekotoons-v1.4.1.apk,pt,nekotoons,1.4.1,4,,
tachiyomi-pt.ninjascan-v1.4.47.apk,pt,ninjascan,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.nocturnesummer-v1.4.46.apk,pt,nocturnesummer,1.4.46,5,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.noindexscan-v1.4.48.apk,pt,noindexscan,1.4.48,6,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.onepieceteca-v1.4.45.apk,pt,onepieceteca,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.origamiorpheans-v1.4.40.apk,pt,origamiorpheans,1.4.40,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-pt.osakascan-v1.4.11.apk,pt,osakascan,1.4.11,6,,zeistmanga
tachiyomi-pt.pinkrosa-v1.4.12.apk,pt,pinkrosa,1.4.12,6,,zeistmanga
tachiyomi-pt.pinkseaunicorn-v1.4.46.apk,pt,pinkseaunicorn,1.4.46,5,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.pirulitorosa-v1.4.45.apk,pt,pirulitorosa,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.pizzariascan-v1.4.47.apk,pt,pizzariascan,1.4.47,19,,
tachiyomi-pt.plumacomics-v1.4.43.apk,pt,plumacomics,1.4.43,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-pt.pointzerotoons-v1.4.31.apk,pt,pointzerotoons,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-pt.portalyaoi-v1.4.46.apk,pt,portalyaoi,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.randomscan-v1.4.57.apk,pt,randomscan,1.4.57,49,,
