apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-tr.ragnarscans-v1.4.47.apk,tr,ragnarscans,1.4.47,4,,
tachiyomi-tr.raindropfansub-v1.4.30.apk,tr,raindropfansub,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.ruyamanga-v1.4.49.apk,tr,ruyamanga,1.4.49,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.ruyamanganet-v1.4.45.apk,tr,ruyamanganet,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.sereinscan-v1.4.30.apk,tr,sereinscan,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.shadowceviri-v1.4.11.apk,tr,shadowceviri,1.4.11,4,,zeistmanga
tachiyomi-tr.shijiescans-v1.4.31.apk,tr,shijiescans,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.siyahmelek-v1.4.60.apk,tr,siyahmelek,1.4.60,4,,
tachiyomi-tr.strayfansub-v1.4.48.apk,tr,strayfansub,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.summertoon-v1.4.45.apk,tr,summertoon,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.tarotscans-v1.4.30.apk,tr,tarotscans,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.tempestscans-v1.4.31.apk,tr,tempestscans,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.tenshimanga-v1.4.4.apk,tr,tenshimanga,1.4.4,4,,
tachiyomi-tr.tonizutoon-v1.4.48.apk,tr,tonizutoon,1.4.48,5,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.tortugaceviri-v1.4.46.apk,tr,tortugaceviri,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.trmanga-v1.4.1.apk,tr,trmanga,1.4.1,10,,
tachiyomi-tr.turkcemangaoku-v1.4.46.apk,tr,turkcemangaoku,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.turkcemangaokutr-v1.4.45.apk,tr,turkcemangaokutr,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.uzaymanga-v1.4.44.apk,tr,uzaymanga,1.4.44,4,,
tachiyomi-tr.webtoonhatti-v1.4.52.apk,tr,webtoonhatti,1.4.52,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.webtoontr-v1.4.47.apk,tr,webtoontr,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.yaoibar-v1.4.46.apk,tr,yaoibar,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.yaoiflix-v1.4.48.apk,tr,yaoiflix,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.yaoimangaoku-v1.4.46.apk,tr,yaoimangaoku,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.zenithscans-v1.4.30.apk,tr,zenithscans,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-uk.honeymanga-v1.4.5.apk,uk,honeymanga,1.4.5,34,,
tachiyomi-uk.mangainua-v1.4.6.apk,uk,mangainua,1.4.6,7,,
tachiyomi-uk.zenko-v1.4.3.apk,uk,zenko,1.4.3,40,,
tachiyomi-vi.doctruyen3q-v1.4.25.apk,vi,doctruyen3q,1.4.25,11,assets/i18n/messages_en.properties;assets/i18n/messages_ja.properties;assets/i18n/messages_vi.properties,wpcomics
tachiyomi-vi.doctruyen5s-v1.4.7.apk,vi,doctruyen5s,1.4.7,4,,
tachiyomi-vi.dualeotruyen-v1.4.11.apk,vi,dualeotruyen,1.4.11,11,,
tachiyomi-vi.goctruyentranh-v1.4.8.apk,vi,goctruyentranh,1.4.8,28,,
tachiyomi-vi.goctruyentranhvui-v1.4.9.apk,vi,goctruyentranhvui,1.4.9,43,,
tachiyomi-vi.hangtruyen-v1.4.4.apk,vi,hangtruyen,1.4.4,27,,
tachiyomi-vi.hentaicube-v1.4.68.apk,vi,hentaicube,1.4.68,13,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-vi.hentaivnplus-v1.4.63.apk,vi,hentaivnplus,1.4.63,8,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-vi.hentaivnx-v1.4.2.apk,vi,hentaivnx,1.4.2,15,,
tachiyomi-vi.lxhentai-v1.4.25.apk,vi,lxhentai,1.4.25,21,,
tachiyomi-vi.manhuarock-v1.4.16.apk,vi,manhuarock,1.4.16,22,,
tachiyomi-vi.mehentai-v1.4.6.apk,vi,mehentai,1.4.6,4,assets/i18n/messages_en.properties;assets/i18n/messages_vi.properties,
tachiyomi-vi.mimihentai-v1.4.2.apk,vi,mimihentai,1.4.2,14,,
tachiyomi-vi.nettruyenco-v1.4.15.apk,vi,nettruyenco,1.4.15,13,assets/i18n/messages_en.properties;assets/i18n/messages_ja.properties;assets/i18n/messages_vi.properties,wpcomics
tachiyomi-vi.nettruyenx-v1.4.7.apk,vi,nettruyenx,1.4.7,5,assets/i18n/messages_en.properties;assets/i18n/messages_ja.properties;assets/i18n/messages_vi.properties,wpcomics
tachiyomi-vi.newtruyentranh-v1.4.2.apk,vi,newtruyentranh,1.4.2,52,,
tachiyomi-vi.nhattruyen-v1.4.28.apk,vi,nhattruyen,1.4.28,15,assets/i18n/messages_en.properties;assets/i18n/messages_ja.properties;assets/i18n/messages_vi.properties,wpcomics
tachiyomi-vi.otruyen-v1.4.1.apk,vi,otruyen,1.4.1,69,,
tachiyomi-vi.sayhentai-v1.4.19.apk,vi,sayhentai,1.4.19,8,assets/i18n/messages_en.properties;assets/i18n/messages_vi.properties,
tachiyomi-vi.teamlanhlung-v1.4.27.apk,vi,teamlanhlung,1.4.27,18,,
tachiyomi-vi.toptruyen-v1.4.27.apk,vi,toptruyen,1.4.27,11,assets/i18n/messages_en.properties;assets/i18n/messages_ja.properties;assets/i18n/messages_vi.properties,wpcomics
tachiyomi-vi.tranh18-v1.4.3.apk,vi,tranh18,1.4.3,16,,
tachiyomi-vi.truyengg-v1.4.10.apk,vi,truyengg,1.4.10,18,,
tachiyomi-vi.truyenhentai18-v1.4.9.apk,vi,truyenhentai18,1.4.9,8,,
tachiyomi-vi.truyenqq-v1.4.20.apk,vi,truyenqq,1.4.20,19,,
tachiyomi-vi.truyentranh3q-v1.4.7.apk,vi,truyentranh3q,1.4.7,14,,
tachiyomi-vi.truyentranhdammy-v1.4.48.apk,vi,truyentranhdammy,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-vi.truyenvn-v1.4.61.apk,vi,truyenvn,1.4.61,8,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-vi.umetruyen-v1.4.8.apk,vi,umetruyen,1.4.8,4,assets/i18n/messages_en.properties;assets/i18n/messages_vi.properties,
tachiyomi-vi.ungtycomics-v1.4.4.apk,vi,ungtycomics,1.4.4,13,,
tachiyomi-vi.vcomycs-v1.4.2.apk,vi,vcomycs,1.4.2,21,,
tachiyomi-vi.vlogtruyen-v1.4.23.apk,vi,vlogtruyen,1.4.23,23,,
tachiyomi-vi.zettruyen-v1.4.2.apk,vi,zettruyen,1.4.2,23,,
tachiyomi-zh.baimangu-v1.4.5.apk,zh,baimangu,1.4.5,14,,
tachiyomi-zh.bakamh-v1.4.50.apk,zh,bakamh,1.4.50,12,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-zh.baozimanhua-v1.4.25.apk,zh,baozimanhua,1.4.25,22,,
tachiyomi-zh.baozimhorg-v1.4.35.apk,zh,baozimhorg,1.4.35,36,,
tachiyomi-zh.bh3-v1.4.3.apk,zh,bh3,1.4.3,6,,
tachiyomi-zh.bilimanga-v1.4.6.apk,zh,bilimanga,1.4.6,20,,
tachiyomi-zh.boylove-v1.4.16.apk,zh,boylove,1.4.16,37,,
tachiyomi-zh.cartoon18-v1.4.4.apk,zh,cartoon18,1.4.4,12,,
tachiyomi-zh.comicabc-v1.4.2.apk,zh,comicabc,1.4.2,5,,
tachiyomi-zh.creativecomic-v1.4.1.apk,zh,creativecomic,1.4.1,71,,
tachiyomi-zh.dm5-v1.4.7.apk,zh,dm5,1.4.7,15,,
tachiyomi-zh.dongmanmanhua-v1.4.6.apk,zh,dongmanmanhua,1.4.6,5,,
tachiyomi-zh.dumanwu-v1.4.2.apk,zh,dumanwu,1.4.2,4,,
tachiyomi-zh.eighteenmanhua-v1.4.3.apk,zh,eighteenmanhua,1.4.3,4,,
tachiyomi-zh.hanime1-v1.4.1.apk,zh,hanime1,1.4.1,7,,
tachiyomi-zh.hanman18-v1.4.1.apk,zh,hanman18,1.4.1,3,,
tachiyomi-zh.happymh-v1.4.20.apk,zh,happymh,1.4.20,55,,
tachiyomi-zh.iqiyi-v1.4.3.apk,zh,iqiyi,1.4.3,6,,
tachiyomi-zh.jinmantiantang-v1.4.53.apk,zh,jinmantiantang,1.4.53,22,,
tachiyomi-zh.jiuermanhua-v1.4.12.apk,zh,jiuermanhua,1.4.12,4,,
tachiyomi-zh.komiic-v1.4.4.apk,zh,komiic,1.4.4,67,,
tachiyomi-zh.mangabz-v1.4.12.apk,zh,mangabz,1.4.12,26,,
tachiyomi-zh.manhuadui-v1.4.30.apk,zh,manhuadui,1.4.30,4,,
tachiyomi-zh.manhuagui-v1.4.25.apk,zh,manhuagui,1.4.25,34,,
tachiyomi-zh.manhuaren-v1.4.18.apk,zh,manhuaren,1.4.18,27,,
tachiyomi-zh.manhuawu-v1.4.7.apk,zh,manhuawu,1.4.7,4,,mccms
tachiyomi-zh.manwa-v1.4.13.apk,zh,manwa,1.4.13,25,,
tachiyomi-zh.mh1234-v1.4.1.apk,zh,mh1234,1.4.1,5,,
tachiyomi-zh.miaoqu-v1.4.7.apk,zh,miaoqu,1.4.7,13,,mccms
tachiyomi-zh.mycomic-v1.4.2.apk,zh,mycomic,1.4.2,19,,
tachiyomi-zh.noyacg-v1.4.3.apk,zh,noyacg,1.4.3,29,,
tachiyomi-zh.picacomic-v1.4.8.apk,zh,picacomic,1.4.8,68,,
tachiyomi-zh.roumanwu-v1.4.18.apk,zh,roumanwu,1.4.18,10,,
tachiyomi-zh.rumanhua-v1.4.5.apk,zh,rumanhua,1.4.5,4,,
tachiyomi-zh.sixmh-v1.4.15.apk,zh,sixmh,1.4.15,10,,mccms
tachiyomi-zh.tencentcomics-v1.4.8.apk,zh,tencentcomics,1.4.8,15,,
tachiyomi-zh.terrahistoricus-v1.4.3.apk,zh,terrahistoricus,1.4.3,35,,
tachiyomi-zh.tongli-v1.4.1.apk,zh,tongli,1.4.1,45,,
tachiyomi-zh.toptoon-v1.4.1.apk,zh,toptoon,1.4.1,25,,
tachiyomi-zh.vomic-v1.4.6.apk,zh,vomic,1.4.6,37,,
tachiyomi-zh.wnacg-v1.4.20.apk,zh,wnacg,1.4.20,10,,
tachiyomi-zh.yidan-v1.4.5.apk,zh,yidan,1.4.5,72,,
tachiyomi-zh.zaimanhua-v1.4.17.apk,zh,zaimanhua,1.4.17,90,,
tachiyomi-zh.zazhimi-v1.4.2.apk,zh,zazhimi,1.4.2,27,,
tachiyomi-zh.zerobyw-v1.4.19.apk,zh,zerobyw,1.4.19,12,,
